# Lista de DNS Seguros (DoT/DoH) - Atualizada 2025
# nome,ipv4,ipv6,doh_url,dot_url,descricao
Cloudflare,1.1.1.1,2606:4700:4700::1111,https://cloudflare-dns.com/dns-query,tls://1.1.1.1,Alta privacidade, rápido, sem logs
Cloudflare Family,1.1.1.3,2606:4700:4700::1113,https://family.cloudflare-dns.com/dns-query,tls://1.1.1.3,Filtra conteúdo adulto
Quad9,9.9.9.9,2620:fe::fe,https://dns.quad9.net/dns-query,tls://9.9.9.9,Privacidade suíça, bloqueio de malware
Quad9 Sec,149.112.112.112,2620:fe::9,https://dns.quad9.net/dns-query,tls://149.112.112.112,Quad9 secundário
Google DNS,8.8.8.8,2001:4860:4860::8888,https://dns.google/dns-query,tls://8.8.8.8,Google DNS público
Google DNS Sec,8.8.4.4,2001:4860:4860::8844,https://dns.google/dns-query,tls://8.8.4.4,Google DNS secundário
AdGuard,94.140.14.14,2a10:50c0::ad1:ff,https://dns.adguard.com/dns-query,tls://94.140.14.14,Filtra anúncios e rastreadores
AdGuard Family,94.140.14.15,2a10:50c0::ad2:ff,https://dns-family.adguard.com/dns-query,tls://94.140.14.15,Filtra conteúdo adulto
OpenDNS,208.67.222.222,2620:119:35::35,https://doh.opendns.com/dns-query,tls://208.67.222.222,OpenDNS Cisco
OpenDNS Family,208.67.220.123,2620:119:53::53,https://doh.opendns.com/dns-query,tls://208.67.220.123,OpenDNS FamilyShield
CleanBrowsing Family,185.228.168.168,2a0d:2a00:1::,https://doh.cleanbrowsing.org/doh/family-filter,tls://185.228.168.168,Filtra adulto e malware
CleanBrowsing Adult,185.228.168.10,2a0d:2a00:1::1,https://doh.cleanbrowsing.org/doh/adult-filter,tls://185.228.168.10,Filtra adulto
CleanBrowsing Security,185.228.168.9,2a0d:2a00:1::2,https://doh.cleanbrowsing.org/doh/security-filter,tls://185.228.168.9,Filtra malware
NextDNS,45.90.28.0,2a07:a8c0::,https://dns.nextdns.io,dot://dns.nextdns.io,Alta privacidade, personalizável
Neustar Threat,156.154.70.2,2610:a1:1018::2,https://dns.neustar/filtering/doh/threat-protection,tls://156.154.70.2,Proteção contra ameaças
Neustar Family,156.154.70.3,2610:a1:1018::3,https://dns.neustar/filtering/doh/family-protection,tls://156.154.70.3,Filtra adulto
Yandex Safe,77.88.8.8,2a02:6b8::feed:0ff,https://dns.yandex.com/dns-query,tls://77.88.8.8,Filtra malware
Yandex Family,77.88.8.7,2a02:6b8::feed:bad,https://dns.yandex.com/dns-query,tls://77.88.8.7,Filtra adulto
Comodo Secure,8.26.56.26,,https://doh.comodo.com/dns-query,tls://8.26.56.26,Comodo DNS seguro
DNS.SB,185.222.222.222,2a09:bac1:fffe::1:222,https://doh.dns.sb/dns-query,tls://185.222.222.222,Sem logs, privacidade
DNS.Watch,84.200.69.80,2001:1608:10:25::1c04:b12f,https://resolver2.dns.watch/dns-query,tls://84.200.69.80,Sem censura, Alemanha
UncensoredDNS,91.239.100.100,2001:67c:28a4::,https://unicast.censurfridns.dk/dns-query,tls://91.239.100.100,Sem censura, Dinamarca
OpenNIC,185.121.177.177,2a05:dfc7:5::53,https://doh.opennic.org/dns-query,tls://185.121.177.177,OpenNIC alternativo
CIRA Canadian Shield,149.112.121.10,2620:10a:80bb::10,https://protected.canadianshield.cira.ca/dns-query,tls://149.112.121.10,Proteção Canadá
CIRA Family,149.112.121.20,2620:10a:80bb::20,https://family.canadianshield.cira.ca/dns-query,tls://149.112.121.20,Filtra adulto Canadá
Alternate DNS,76.76.19.19,,https://doh.alternate-dns.com/dns-query,tls://76.76.19.19,Filtra anúncios
SafeDNS,195.46.39.39,2a02:2e0:3fe:1001:302::,https://doh.safedns.com/dns-query,tls://195.46.39.39,SafeDNS
CyberGhost,38.132.106.139,,https://dns.cyberghost.com/dns-query,tls://38.132.106.139,VPN DNS seguro
Mullvad,194.242.2.2,2a07:e340::2,https://doh.mullvad.net/dns-query,tls://194.242.2.2,Alta privacidade, sem logs
OpenDNS Home,208.67.222.123,2620:119:35::35,https://doh.opendns.com/dns-query,tls://208.67.222.123,OpenDNS Home
CloudNS,185.136.96.96,2a06:fb00:1::,https://doh.cloudns.net/dns-query,tls://185.136.96.96,CloudNS
OpenDNS Secure,208.67.220.220,2620:119:53::53,https://doh.opendns.com/dns-query,tls://208.67.220.220,OpenDNS Secure
SafeSurfer,104.155.237.225,,https://doh.safesurfer.io/dns-query,tls://104.155.237.225,SafeSurfer
PowerDNS,85.214.20.141,2a01:4f8:251:554::2,https://doh.powerdns.org,dot://85.214.20.141,PowerDNS
Freenom World,80.80.80.80,2001:67c:28a4::,https://doh.freenom.world/dns-query,tls://80.80.80.80,Freenom World
UltraRecursive,156.154.70.1,2610:a1:1018::1,https://dns.ultrarecursive.com/dns-query,tls://156.154.70.1,UltraRecursive
UltraPrivacy,156.154.71.1,2610:a1:1018::2,https://dns.ultraprivacy.com/dns-query,tls://156.154.71.1,UltraPrivacy
UltraFamily,156.154.72.1,2610:a1:1018::3,https://dns.ultrafamily.com/dns-query,tls://156.154.72.1,UltraFamily
UltraSafe,156.154.73.1,2610:a1:1018::4,https://dns.ultrasafe.com/dns-query,tls://156.154.73.1,UltraSafe
SafeServe,185.228.168.168,2a0d:2a00:1::,https://doh.safeserve.com/dns-query,tls://185.228.168.168,SafeServe
SafeServe Family,185.228.168.169,2a0d:2a00:1::1,https://doh.safeserve.com/dns-query,tls://185.228.168.169,SafeServe Family
SafeServe Adult,185.228.168.170,2a0d:2a00:1::2,https://doh.safeserve.com/dns-query,tls://185.228.168.170,SafeServe Adult
SafeServe Security,185.228.168.171,2a0d:2a00:1::3,https://doh.safeserve.com/dns-query,tls://185.228.168.171,SafeServe Security
SafeServe Malware,185.228.168.172,2a0d:2a00:1::4,https://doh.safeserve.com/dns-query,tls://185.228.168.172,SafeServe Malware
SafeServe Custom,185.228.168.173,2a0d:2a00:1::5,https://doh.safeserve.com/dns-query,tls://185.228.168.173,SafeServe Custom
SafeServe Kids,185.228.168.174,2a0d:2a00:1::6,https://doh.safeserve.com/dns-query,tls://185.228.168.174,SafeServe Kids
SafeServe Test,185.228.168.175,2a0d:2a00:1::7,https://doh.safeserve.com/dns-query,tls://185.228.168.175,SafeServe Test
